
























EMAIL ,SMS ,NOM ,PRODUCT_NAME,Date_Of_Birth ,GENDER ,pin no ,ORDER_ID,,
aliass+5fca20f3c2fbd38@gmail.com,9886200487127,Kajalrexau,Singhjazeo,19-12-2000,2,597925,434,639,
aliass+5fca20f3c2fca39@gmail.com,9886200473081,Kajallipoe,Singhdifii,19-12-2000,1,687762,741,138,
aliass+5fca20f3c2fd540@gmail.com,9886200461197,Kajaljisio,Singhpinuu,19-12-2000,1,556807,782,188,
aliass+5fca20f3c2fe241@gmail.com,9886200443194,Kajalnoloi,Singhloqaa,19-12-2000,2,138624,594,642,
aliass+5fca20f3c2fed42@gmail.com,9886200417327,Kajaldubeo,Singhhojuu,19-12-2000,2,767343,156,222,
aliass+5fca20f3c300443@gmail.com,9886200498045,Kajalviqeo,Singhmuvio,19-12-2000,2,623412,881,416,
aliass+5fca20f3c301744@gmail.com,9886200479457,Kajalwasue,Singhtihii,19-12-2000,2,914662,304,471,
aliass+5fca20f3c302745@gmail.com,9886200427196,Kajalpipoo,Singhjizue,19-12-2000,1,749933,434,887,
aliass+5fca20f3c303946@gmail.com,9886200432116,Kajalpijee,Singhcaveu,19-12-2000,2,135451,726,829,
aliass+5fca20f3c304647@gmail.com,9886200468887,Kajalkiroe,Singhpubae,19-12-2000,2,992054,720,164,
aliass+5fca20f3c305148@gmail.com,9886200464369,Kajaltitee,Singhjokiu,19-12-2000,1,124989,209,782,
aliass+5fca20f3c305c49@gmail.com,9886200485294,Kajalpaleo,Singhgoqao,19-12-2000,1,437329,951,835,
aliass+5fca20f3c306750@gmail.com,9886200455792,Kajalrekei,Singhcuxeo,19-12-2000,1,458009,538,457,
aliass+5fca20f3c307251@gmail.com,9886200474821,Kajalhoqua,Singhtobea,19-12-2000,2,888637,224,909,
aliass+5fca20f3c307d52@gmail.com,9886200484215,Kajalzakai,Singhseteo,19-12-2000,1,165808,572,431,
aliass+5fca20f3c308853@gmail.com,9886200434365,Kajalfamoe,Singhmehuo,19-12-2000,2,760773,980,896,
aliass+5fca20f3c309354@gmail.com,9886200439879,Kajalxapuo,Singhxejai,19-12-2000,1,255127,162,552,
aliass+5fca20f3c309e55@gmail.com,9886200478644,Kajalyiriu,Singhdaloa,19-12-2000,2,730440,147,440,
aliass+5fca20f3c30a956@gmail.com,9886200444362,Kajalbozoe,Singhloguu,19-12-2000,2,160250,370,709,
aliass+5fca20f3c30b457@gmail.com,9886200423960,Kajalleyio,Singhkugea,19-12-2000,1,585430,893,362,
aliass+5fca20f3c30c058@gmail.com,9886200441458,Kajalbixou,Singhzixii,19-12-2000,1,929394,508,12,
aliass+5fca20f3c30ca59@gmail.com,9886200474074,Kajalcosii,Singhcuxau,19-12-2000,1,304856,966,317,
aliass+5fca20f3c30d660@gmail.com,9886200464441,Kajalhibou,Singhxohia,19-12-2000,2,322498,382,411,
aliass+5fca20f3c30e661@gmail.com,9886200435265,Kajalfuvoa,Singhyonuu,19-12-2000,2,582537,748,512,
aliass+5fca20f3c30f862@gmail.com,9886200455797,Kajalloduo,Singhjunui,19-12-2000,1,524682,1,194,
aliass+5fca20f3c310963@gmail.com,9886200412225,Kajalcopao,Singhhajao,19-12-2000,1,605005,903,901,
aliass+5fca20f3c311a64@gmail.com,9886200443174,Kajaljiyue,Singhpucoa,19-12-2000,2,963333,494,385,
aliass+5fca20f3c312a65@gmail.com,9886200470685,Kajalhukuo,Singhheyeo,19-12-2000,1,650316,15,78,
aliass+5fca20f3c313a66@gmail.com,9886200421340,Kajalboxei,Singhlinoi,19-12-2000,2,210233,278,210,
aliass+5fca20f3c314b67@gmail.com,9886200425183,Kajalveyai,Singhbutoi,19-12-2000,1,273378,424,320,
aliass+5fca20f3c315d68@gmail.com,9886200483157,Kajalruhei,Singhciraa,19-12-2000,1,662188,881,710,
aliass+5fca20f3c316e69@gmail.com,9886200462651,Kajallovau,Singhvudii,19-12-2000,1,606904,865,331,
aliass+5fca20f3c318070@gmail.com,9886200446399,Kajallarau,Singhzegue,19-12-2000,2,617178,869,202,
aliass+5fca20f3c319371@gmail.com,9886200430975,Kajalpuvue,Singhgiwuu,19-12-2000,1,967282,952,672,
aliass+5fca20f3c31a572@gmail.com,9886200427419,Kajalsivuu,Singhduwoe,19-12-2000,2,703608,488,134,
aliass+5fca20f3c31b773@gmail.com,9886200481540,Kajalmoloe,Singhnineu,19-12-2000,2,301522,37,524,
aliass+5fca20f3c31c974@gmail.com,9886200493103,Kajalzipae,Singhxewea,19-12-2000,1,539717,800,707,
aliass+5fca20f3c31da75@gmail.com,9886200488515,Kajaldarue,Singhbifai,19-12-2000,2,434170,79,340,
aliass+5fca20f3c31ed76@gmail.com,9886200495621,Kajalvuyoa,Singhkifeu,19-12-2000,2,987030,212,476,
aliass+5fca20f3c31ff77@gmail.com,9886200446355,Kajalbisia,Singhwajea,19-12-2000,2,470234,447,703,
aliass+5fca20f3c321178@gmail.com,9886200433048,Kajallogeu,Singhrifii,19-12-2000,1,720901,700,9,
aliass+5fca20f3c322179@gmail.com,9886200432476,Kajalhemei,Singhwalee,19-12-2000,1,923341,920,439,
aliass+5fca20f3c323680@gmail.com,9886200432394,Kajalwameu,Singhpoyaa,19-12-2000,1,335577,868,909,
aliass+5fca20f3c324781@gmail.com,9886200488413,Kajalzasao,Singhvexio,19-12-2000,1,981696,952,102,
aliass+5fca20f3c325882@gmail.com,9886200445989,Kajalhofee,Singhyonei,19-12-2000,2,905742,28,84,
aliass+5fca20f3c326883@gmail.com,9886200448562,Kajalzuqiu,Singhpusei,19-12-2000,1,551585,369,777,
aliass+5fca20f3c327884@gmail.com,9886200465589,Kajalfarii,Singhkugui,19-12-2000,2,183053,772,268,
aliass+5fca20f3c330185@gmail.com,9886200419087,Kajalnexie,Singhrehoa,19-12-2000,1,681105,108,70,
aliass+5fca20f3c331e86@gmail.com,9886200435473,Kajallolao,Singhkacie,19-12-2000,2,434911,518,199,
aliass+5fca20f3c333287@gmail.com,9886200454639,Kajalciqao,Singhlowaa,19-12-2000,2,686893,800,163,
aliass+5fca20f3c334588@gmail.com,9886200415904,Kajalxibia,Singhhuvua,19-12-2000,2,674210,531,402,
aliass+5fca20f3c335789@gmail.com,9886200462086,Kajalguxai,Singhjifio,19-12-2000,1,781617,594,667,
aliass+5fca20f3c336990@gmail.com,9886200434283,Kajalfogua,Singhlufui,19-12-2000,1,161874,10,371,
aliass+5fca20f3c337b91@gmail.com,9886200479737,Kajalkeboi,Singhjegue,19-12-2000,1,531843,267,83,
aliass+5fca20f3c338c92@gmail.com,9886200416579,Kajalpakue,Singhxabiu,19-12-2000,1,502008,986,907,
aliass+5fca20f3c339f93@gmail.com,9886200456414,Kajalhujou,Singhkedeu,19-12-2000,2,712298,862,826,
aliass+5fca20f3c33cf94@gmail.com,9886200499793,Kajalwezao,Singhwisio,19-12-2000,1,906555,803,661,
aliass+5fca20f3c340595@gmail.com,9886200484680,Kajalgaria,Singhgohee,19-12-2000,2,570322,194,667,
aliass+5fca20f3c341a96@gmail.com,9886200485986,Kajalmutau,Singhparaa,19-12-2000,2,823412,797,403,
aliass+5fca20f3c342f97@gmail.com,9886200497147,Kajaltovua,Singhmudau,19-12-2000,1,906799,827,49,
aliass+5fca20f3c344398@gmail.com,9886200455737,Kajalbomuo,Singhhejoi,19-12-2000,1,537746,11,234,
aliass+5fca20f3c345799@gmail.com,9886200454809,Kajalvisoi,Singhviloi,19-12-2000,2,733907,838,133,
aliass+5fca20f3c3485100@gmail.com,9886200423793,Kajalhekee,Singhqehei,19-12-2000,1,589598,623,397,
aliass+5fca20f3c349e101@gmail.com,9886200469953,Kajalyovei,Singhqapai,19-12-2000,2,489891,28,9,
aliass+5fca20f3c3506102@gmail.com,9886200488192,Kajalrizau,Singhjafuu,19-12-2000,2,762681,605,899,
aliass+5fca20f3c351b103@gmail.com,9886200434482,Kajalhotoi,Singhtasei,19-12-2000,2,272856,292,786,
aliass+5fca20f3c352d104@gmail.com,9886200420241,Kajalruwue,Singhyesae,19-12-2000,1,871018,164,187,
aliass+5fca20f3c353f105@gmail.com,9886200474816,Kajalveriu,Singhcomuu,19-12-2000,1,650077,591,875,
aliass+5fca20f3c3551106@gmail.com,9886200464111,Kajalqelei,Singhbeqei,19-12-2000,1,738189,469,8,
aliass+5fca20f3c3563107@gmail.com,9886200485338,Kajalzilee,Singhsewoo,19-12-2000,1,891402,963,583,
aliass+5fca20f3c3575108@gmail.com,9886200461046,Kajalzadio,Singhdasou,19-12-2000,2,407058,92,900,
aliass+5fca20f3c3587109@gmail.com,9886200456628,Kajalxerei,Singhvuvee,19-12-2000,1,999962,1,115,
aliass+5fca20f3c3599110@gmail.com,9886200478024,Kajalkusoa,Singhvovei,19-12-2000,2,429807,157,711,
aliass+5fca20f3c35ab111@gmail.com,9886200475717,Kajalrepeo,Singhcaxoo,19-12-2000,1,460627,733,740,
